temp	var	treat(µM-h)	det	rep	%g
3C 	Zarfam	50-24	non deteriorated	1	58
3C 	Zarfam	50-24	non deteriorated	2	52
3C 	Zarfam	50-24	non deteriorated	3	50
3C 	Zarfam	50-24	prime then deterioration	1	0
3C 	Zarfam	50-24	prime then deterioration	2	0
3C 	Zarfam	50-24	prime then deterioration	3	0
3C 	Zarfam	50-24	deterioration then prime	1	10
3C 	Zarfam	50-24	deterioration then prime	2	0
3C 	Zarfam	50-24	deterioration then prime	3	0
3C 	Zarfam	50-40	non deteriorated	1	78
3C 	Zarfam	50-40	non deteriorated	2	78
3C 	Zarfam	50-40	non deteriorated	3	86
3C 	Zarfam	50-40	prime then deterioration	1	0
3C 	Zarfam	50-40	prime then deterioration	2	0
3C 	Zarfam	50-40	prime then deterioration	3	0
3C 	Zarfam	50-40	deterioration then prime	1	0
3C 	Zarfam	50-40	deterioration then prime	2	0
3C 	Zarfam	50-40	deterioration then prime	3	0
3C 	Zarfam	100-24	non deteriorated	1	68
3C 	Zarfam	100-24	non deteriorated	2	56
3C 	Zarfam	100-24	non deteriorated	3	48
3C 	Zarfam	100-24	prime then deterioration	1	0
3C 	Zarfam	100-24	prime then deterioration	2	0
3C 	Zarfam	100-24	prime then deterioration	3	0
3C 	Zarfam	100-24	deterioration then prime	1	2
3C 	Zarfam	100-24	deterioration then prime	2	0
3C 	Zarfam	100-24	deterioration then prime	3	0
3C 	Zarfam	100-40	non deteriorated	1	60
3C 	Zarfam	100-40	non deteriorated	2	50
3C 	Zarfam	100-40	non deteriorated	3	60
3C 	Zarfam	100-40	prime then deterioration	1	0
3C 	Zarfam	100-40	prime then deterioration	2	0
3C 	Zarfam	100-40	prime then deterioration	3	0
3C 	Zarfam	100-40	deterioration then prime	1	10
3C 	Zarfam	100-40	deterioration then prime	2	0
3C 	Zarfam	100-40	deterioration then prime	3	0
3C 	Zarfam	150-24	non deteriorated	1	50
3C 	Zarfam	150-24	non deteriorated	2	56
